Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
12/01/2014 12:00:00 AM,23689,24818
11/01/2012 12:00:00 AM,26062,24585
12/01/2012 12:00:00 AM,18608,17761
01/01/2015 12:00:00 AM,35754,24876
07/01/2017 12:00:00 AM,50973,67931
05/01/2017 12:00:00 AM,48267,60822
03/01/2013 12:00:00 AM,34443,31646
07/01/2016 12:00:00 AM,50373,55310
10/01/2013 12:00:00 AM,42188,39164
05/01/2016 12:00:00 AM,56595,57564
07/01/2014 12:00:00 AM,61170,59499
01/01/2014 12:00:00 AM,30974,28899
12/01/2016 12:00:00 AM,17385,21552
04/01/2016 12:00:00 AM,46905,46734
11/01/2017 12:00:00 AM,23442,34242
08/01/2017 12:00:00 AM,49767,70421
01/01/2017 12:00:00 AM,22388,27417
06/01/2016 12:00:00 AM,51551,56066
04/01/2017 12:00:00 AM,30333,38080
08/01/2013 12:00:00 AM,53199,51350
04/01/2013 12:00:00 AM,37303,34695
11/01/2015 12:00:00 AM,27822,28846
01/01/2013 12:00:00 AM,22910,21974
12/01/2013 12:00:00 AM,22576,20977
03/01/2015 12:00:00 AM,34585,36559
10/01/2014 12:00:00 AM,44677,38507
06/01/2017 12:00:00 AM,107801,46823
12/01/2015 12:00:00 AM,21672,22320
05/01/2013 12:00:00 AM,56837,51737
04/01/2014 12:00:00 AM,44859,41996
11/01/2014 12:00:00 AM,27963,29027
09/01/2014 12:00:00 AM,51043,46515
09/01/2015 12:00:00 AM,44927,46213
02/01/2014 12:00:00 AM,24086,22939
01/01/2016 12:00:00 AM,25678,26055
11/01/2016 12:00:00 AM,28604,35493
02/01/2017 12:00:00 AM,18557,23444
03/01/2014 12:00:00 AM,32850,30644
09/01/2017 12:00:00 AM,40866,55632
11/01/2013 12:00:00 AM,30511,28759
06/01/2013 12:00:00 AM,51439,47841
02/01/2015 12:00:00 AM,32791,25868
06/01/2014 12:00:00 AM,56313,54594
05/01/2014 12:00:00 AM,61462,57182
10/01/2012 12:00:00 AM,33764,31931
05/01/2015 12:00:00 AM,55241,52534
10/01/2016 12:00:00 AM,31862,38021
10/01/2017 12:00:00 AM,36440,51703
09/01/2013 12:00:00 AM,41674,39055
02/01/2016 12:00:00 AM,29707,30674
08/01/2016 12:00:00 AM,51986,60394
08/01/2015 12:00:00 AM,50617,52734
10/01/2015 12:00:00 AM,41188,41815
06/01/2015 12:00:00 AM,57076,56641
07/01/2013 12:00:00 AM,60013,57961
04/01/2015 12:00:00 AM,43597,40100
08/01/2014 12:00:00 AM,56240,56250
07/01/2015 12:00:00 AM,55645,57135
03/01/2017 12:00:00 AM,25703,33044
02/01/2013 12:00:00 AM,25898,24129
09/01/2016 12:00:00 AM,43281,50876
03/01/2016 12:00:00 AM,34377,35427
